,date,currency,code,bid,ask
5259,2018-12-19,jen (Japonia),JPY,0.033063,0.033731
5260,2018-12-19,korona czeska,CZK,0.1647,0.1681
5261,2018-12-19,korona dunska,DKK,0.5679,0.5793
5262,2018-12-19,korona norweska,NOK,0.4278,0.4364
5263,2018-12-19,korona szwedzka,SEK,0.4104,0.4186
5264,2018-12-19,SDR (MFW),XDR,5.1653,5.2697
5265,2018-12-20,dolar amerykanski,USD,3.7052,3.78
5266,2018-12-20,dolar australijski,AUD,2.6407,2.6941
5267,2018-12-20,dolar kanadyjski,CAD,2.7509,2.8065
5268,2018-12-20,euro,EUR,4.2422,4.328
5269,2018-12-20,forint (Wegry),HUF,0.01319,0.013456
5270,2018-12-20,frank szwajcarski,CHF,3.7408,3.8164
5271,2018-12-20,funt szterling,GBP,4.6904,4.7852
5272,2018-12-20,jen (Japonia),JPY,0.033213,0.033883
5273,2018-12-20,korona czeska,CZK,0.1645,0.1679
5274,2018-12-20,korona dunska,DKK,0.5682,0.5796
5275,2018-12-20,korona norweska,NOK,0.4277,0.4363
5276,2018-12-20,korona szwedzka,SEK,0.4132,0.4216
5277,2018-12-20,SDR (MFW),XDR,5.1542,5.2584
5278,2018-12-21,dolar amerykanski,USD,3.7184,3.7936
5279,2018-12-21,dolar australijski,AUD,2.6365,2.6897
5280,2018-12-21,dolar kanadyjski,CAD,2.7436,2.799
5281,2018-12-21,euro,EUR,4.2398,4.3254
5282,2018-12-21,forint (Wegry),HUF,0.013174000000000002,0.01344
5283,2018-12-21,frank szwajcarski,CHF,3.7515,3.8273
5284,2018-12-21,funt szterling,GBP,4.7028,4.7978
5285,2018-12-21,jen (Japonia),JPY,0.033492,0.034168000000000004
5286,2018-12-21,korona czeska,CZK,0.1641,0.1675
5287,2018-12-21,korona dunska,DKK,0.5678,0.5792
5288,2018-12-21,korona norweska,NOK,0.4249,0.4335
5289,2018-12-21,korona szwedzka,SEK,0.4118,0.4202
5290,2018-12-21,SDR (MFW),XDR,5.1434,5.2474
5291,2018-12-24,dolar amerykanski,USD,3.7212,3.7964
5292,2018-12-24,dolar australijski,AUD,2.627,2.68
5293,2018-12-24,dolar kanadyjski,CAD,2.7407,2.7961
5294,2018-12-24,euro,EUR,4.2404,4.3260000000000005
5295,2018-12-24,forint (Wegry),HUF,0.013182,0.013447999999999998
5296,2018-12-24,frank szwajcarski,CHF,3.7399,3.8155
5297,2018-12-24,funt szterling,GBP,4.7069,4.8019
5298,2018-12-24,jen (Japonia),JPY,0.033501,0.034177
5299,2018-12-24,korona czeska,CZK,0.1638,0.1672
5300,2018-12-24,korona dunska,DKK,0.5679,0.5793
5301,2018-12-24,korona norweska,NOK,0.4247,0.4333
5302,2018-12-24,korona szwedzka,SEK,0.4102,0.4184
5303,2018-12-24,SDR (MFW),XDR,5.1541,5.2583
5304,2018-12-27,dolar amerykanski,USD,3.7158,3.7908
